,L-Precision,L-Recall,L-Measure,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TR6R91L11C8A40D710,0.5979871826224915,0.5310016881033442,0.5625072339863932,0.5850168748342197,0.6249042862764419,0.604303097389196,Reference,Estimate
TRACGVT149E3B9BE3F,0.5807494101058298,0.5001302319681942,0.5374332643258889,0.5771268035915502,0.5427095116096584,0.5593892633455748,Reference,Estimate
TRACPPB149E33C10B9,0.4008524764309023,0.5838483673163248,0.475346528613243,0.5612858693758307,0.4876781792305655,0.5218994324328096,Reference,Estimate
TRADINA127F847B84E,0.6023468390710446,0.6242235977754793,0.613090124624718,0.6202954230745086,0.6337041752499927,0.6269281106883692,Reference,Estimate
TRAEQJQ149E3BA694B,0.6058451676133056,0.6516804110222343,0.6279274705083365,0.708774886316486,0.691353465812717,0.6999557910397901,Reference,Estimate
TRAGPGW149E3A9DFC7,0.40259626123563785,0.42686594703642133,0.41437604416886376,0.38527018758400705,0.44324333001365196,0.4122284966330455,Reference,Estimate
TRAGTML149E3B2F15F,0.7437082838118294,0.6373353572391106,0.6864252086692965,0.7233193455812067,0.7205719271049824,0.7219430224661268,Reference,Estimate
TRAHKKV149E3BDA124,0.6057375224366439,0.6863912875136743,0.6435472295314233,0.6901071437232641,0.923772084500831,0.7900240656640188,Reference,Estimate
TRAHMSN127F92CD4AD,0.7495062446853039,0.7654468554767645,0.7573926850846928,0.8710414179639698,0.8053415787877495,0.8369040632025894,Reference,Estimate
TRAHXQW149E3BCE2C1,0.7378731370704299,0.5647110105173216,0.6397822139019356,0.8576094259277676,0.8846573535607113,0.8709234361372918,Reference,Estimate
TRAIIEF149E3861F6C,0.7636784731134175,0.7452440146909108,0.7543486373037214,0.8383158459619945,0.8160509735171865,0.827033586695769,Reference,Estimate
TRAITGI149E3C71235,0.8513649763166887,0.8235564453943159,0.8372298599086948,0.8923162232396494,0.8727094775815977,0.8824039498787162,Reference,Estimate
