,Expanded L-Measure,Expanded L-Precision,Expanded L-Recall,L-Measure,L-Precision,L-Recall,est_name,ref_name
05_-_Little_Child,0.9177577991543225,0.9142887439164182,0.9212532796976814,0.9166335075955027,0.9120512109450859,0.9212620811866756,Isophonics,TUT
11_-_I_Wanna_Be_Your_Man,0.9713207923672824,0.9700569889962695,0.9725878930343215,0.969911905784109,0.9678732558165681,0.9719591619740092,Isophonics,TUT
07_-_Please_Mister_Postman,0.8404217037787785,0.8139030285031235,0.8687266480741136,0.7890481781892978,0.7339824534905192,0.8530464682764651,Isophonics,TUT
02_-_All_I've_Got_To_Do,0.8654269585895296,0.868425280073293,0.8624492698536143,0.7710786334586636,0.7345246375320423,0.8114614283018986,Isophonics,TUT
08_-_Roll_Over_Beethoven,0.7027115543894648,0.7170814245198797,0.6889062964733563,0.6007846784983262,0.5687405142638076,0.6366553210065755,Isophonics,TUT
04_-_Don't_Bother_Me,0.8699392028090932,0.8704165489415585,0.869462379953531,0.8578792661678875,0.858753657668045,0.857006653484734,Isophonics,TUT
12_-_Devil_In_Her_Heart,0.7551898110937233,0.7928137732314279,0.7209750450140716,0.6794563602166247,0.6614534131576433,0.6984667075958626,Isophonics,TUT
09_-_Hold_Me_Tight,0.8864235672054576,0.8636486811800838,0.9104321590174964,0.854893719508151,0.807404870417097,0.9083179370470436,Isophonics,TUT
14_-_Money,0.6190460723238829,0.5691891299315484,0.6784757497184163,0.5483807251074255,0.5148583193196561,0.5865724342162548,Isophonics,TUT
13_-_Not_A_Second_Time,0.9313621766275536,0.9312566744698259,0.9314677026926889,0.917025841301461,0.9170141652327732,0.9170375176674883,Isophonics,TUT
03_-_All_My_Loving,0.9197541550074643,0.9200588624562838,0.9194496493194106,0.9166193794429375,0.9173088680070007,0.9159309265985495,Isophonics,TUT
01_-_It_Won't_Be_Long,0.6675762755057567,0.679607854082188,0.6559632933141045,0.6055619672723009,0.6060511843860081,0.6050735393340014,Isophonics,TUT
10_-_You_Really_Got_A_Hold_On_Me,0.8625443476877137,0.838525789771471,0.8879794458182448,0.7982083960563853,0.7889726206948531,0.8076629620189753,Isophonics,TUT
06_-_Till_There_Was_You,0.9217950318026783,0.9223134326992432,0.9212772133296488,0.915986871632876,0.9160414044711427,0.9159323452870086,Isophonics,TUT
04_-_I_Me_Mine,0.9475031106423725,0.9173976923748485,0.9796514548667901,0.6483934271472876,0.634110225943107,0.6633349082537525,Isophonics,TUT
03_-_Across_the_Universe,0.9595821370600345,0.977782231981319,0.9420472014416744,0.8821393464956416,0.8959065362163946,0.8687888677502703,Isophonics,TUT
10_-_The_Long_and_Winding_Road,0.738478135122837,0.8060302815740616,0.6813732970051442,0.54154489756915,0.6615608791732523,0.458387314833382,Isophonics,TUT
11_-_For_You_Blue,0.9185041070031399,0.8797882172418435,0.9607843040684204,0.7581216104863937,0.7590254986496502,0.7572198725592667,Isophonics,TUT
06_-_Let_It_Be,0.9065602080332631,0.9229954319811741,0.8907000485342568,0.8944109390550815,0.905091098514922,0.8839798937819866,Isophonics,TUT
12_-_Get_Back,0.9780819199241263,0.9841790352590503,0.9720598842836594,0.978317242797569,0.9843119062251003,0.9723951548546618,Isophonics,TUT
09_-_One_After_909,0.8836952200059363,0.8959059723553982,0.8718128449870172,0.7729104621286702,0.8158029909565067,0.7343029656245355,Isophonics,TUT
02_-_Dig_a_Pony,0.9567975854473956,0.9497470878505198,0.9639535454313798,0.9569879664220832,0.9499479704256848,0.9641330872980526,Isophonics,TUT
05_-_Dig_It,0.7267477353620226,0.7408831251420029,0.713141628613605,0.13144337892468985,0.08193063873938121,0.3322004347505569,Isophonics,TUT
01_-_Two_of_Us,0.8829282176137616,0.8771594699726634,0.8887733453412983,0.8484379569017584,0.8533410848644394,0.8435908518366608,Isophonics,TUT
07_-_Maggie_Mae,0.7978449228237972,0.8044532353982804,0.7913442957762417,0.9112912650091055,0.935881040675098,0.8879605740690962,Isophonics,TUT
08_-_I've_Got_A_Feeling,0.7506775670817807,0.7399820011444105,0.7616868509911247,0.7807496077026024,0.8094911402432883,0.7539790689434969,Isophonics,TUT
14_-_Everybody's_Trying_to_Be_My_Baby,0.8842565505261664,0.8911586610435095,0.8774605333403709,0.8911648985834735,0.8919122912940033,0.8904187574044594,Isophonics,TUT
05_-_I'll_Follow_the_Sun,0.9125655116909103,0.9196368665452047,0.9056020744277642,0.9104691637246902,0.9151635770026606,0.9058226654863394,Isophonics,TUT
